CityName;Region
Adana;1
Adıyaman;4
Afyon;3
Ağrı;2
Amasya;6
Ankara;5
Antalya;1
Artvin;6
Aydın;3
Balıkesir;7
Bilecik;7
Bingöl;2
Bitlis;2
Bolu;6
Burdur;1
Bursa;7
Çanakkale;7
Çankırı;5
Çorum;6
Denizli;3
Diyarbakır;4
Edirne;6
Elazığ;2
Erzincan;2
Erzurum;2
Eskişehir;5
Gaziantep;4
Giresun;6
Gümüşhane
Hakkari;2
Hatay;1
Isparta;1
İçel;1
İstanbul;7
İzmir;3
Kars;2
Kastamonu;6
Kayseri;5
Kırklareli;7
Kırşehir;5
Kocaeli;7
Konya;5
Kütahya;3
Malatya;2
Manisa;3
Kahramanmaraş;1
Mardin;4
Muğla;3
Muş;2
Nevşehir;5
Niğde;5
Ordu;6
Rize;6
Sakarya;7
Samsun;6
Siirt;4
Sinop;6
Sivas;5
Tekirdağ;7
Tokat;6
Trabzon;6
Tunceli;2
Şanlıurfa;4
Uşak;3
Van;2
Yozgat;5
Zonguldak;6
Aksaray;5
Bayburt;6
Karaman;5
Kırıkkale;5
Batman;4
Şırnak;4
Bartın;6
Ardahan;2
Iğdır;2
Yalova;7
Karabük;6
Kilis;4
Osmaniye;1
Düzce;6